5.2 Cataracts      Use of corticosteroids may result in posterior subcapsular cataract formation.,result in is not a named entity
"The most common adverse reaction leading to treatment discontinuation was fatigue/asthenia, which occurred in 1% of patients on each treatment arm.",occurred in 1 is not a named entity
"The most common adverse reaction leading to treatment discontinuation was fatigue/asthenia, which occurred in 1% of patients on each treatment arm.",discontinuation was is not a named entity
"The most common adverse reactions (>= 10%) that occurred more commonly (>= 2% over placebo) in the XTANDI-treated patients from the two randomized clinical trials were asthenia/fatigue, back pain, decreased appetite, constipation, arthralgia, diarrhea, hot flush, upper respiratory tract infection, peripheral edema, dyspnea, musculoskeletal pain, weight decreased, headache, hypertension, and dizziness/vertigo.",the is not a named entity
"The most common adverse reactions (>= 10%) that occurred more commonly (>= 2% over placebo) in the XTANDI-treated patients from the two randomized clinical trials were asthenia/fatigue, back pain, decreased appetite, constipation, arthralgia, diarrhea, hot flush, upper respiratory tract infection, peripheral edema, dyspnea, musculoskeletal pain, weight decreased, headache, hypertension, and dizziness/vertigo.",", is not a named entity"
"The most common adverse reactions (>= 10%) that occurred more commonly (>= 2% over placebo) in the XTANDI-treated patients from the two randomized clinical trials were asthenia/fatigue, back pain, decreased appetite, constipation, arthralgia, diarrhea, hot flush, upper respiratory tract infection, peripheral edema, dyspnea, musculoskeletal pain, weight decreased, headache, hypertension, and dizziness/vertigo.",musculoskeletal pain is an adverse reaction entity
"The most common adverse reactions (>= 10%) that occurred more commonly (>= 2% over placebo) in the XTANDI-treated patients from the two randomized clinical trials were asthenia/fatigue, back pain, decreased appetite, constipation, arthralgia, diarrhea, hot flush, upper respiratory tract infection, peripheral edema, dyspnea, musculoskeletal pain, weight decreased, headache, hypertension, and dizziness/vertigo.",", hot is not a named entity"
"The most common adverse reactions (>= 10%) that occurred more commonly (>= 2% over placebo) in the XTANDI-treated patients from the two randomized clinical trials were asthenia/fatigue, back pain, decreased appetite, constipation, arthralgia, diarrhea, hot flush, upper respiratory tract infection, peripheral edema, dyspnea, musculoskeletal pain, weight decreased, headache, hypertension, and dizziness/vertigo.",peripheral edema is an adverse reaction entity
"The most common adverse reactions (>= 10%) that occurred more commonly (>= 2% over placebo) in the XTANDI-treated patients from the two randomized clinical trials were asthenia/fatigue, back pain, decreased appetite, constipation, arthralgia, diarrhea, hot flush, upper respiratory tract infection, peripheral edema, dyspnea, musculoskeletal pain, weight decreased, headache, hypertension, and dizziness/vertigo.","dyspnea , musculoskeletal is not a named entity"
"The most common adverse reactions (>= 10%) that occurred more commonly (>= 2% over placebo) in the XTANDI-treated patients from the two randomized clinical trials were asthenia/fatigue, back pain, decreased appetite, constipation, arthralgia, diarrhea, hot flush, upper respiratory tract infection, peripheral edema, dyspnea, musculoskeletal pain, weight decreased, headache, hypertension, and dizziness/vertigo.",vertigo is an adverse reaction entity
"The most common adverse reactions (>= 10%) that occurred more commonly (>= 2% over placebo) in the XTANDI-treated patients from the two randomized clinical trials were asthenia/fatigue, back pain, decreased appetite, constipation, arthralgia, diarrhea, hot flush, upper respiratory tract infection, peripheral edema, dyspnea, musculoskeletal pain, weight decreased, headache, hypertension, and dizziness/vertigo.",dyspnea is an adverse reaction entity
"The most common adverse reactions (>= 10%) that occurred more commonly (>= 2% over placebo) in the XTANDI-treated patients from the two randomized clinical trials were asthenia/fatigue, back pain, decreased appetite, constipation, arthralgia, diarrhea, hot flush, upper respiratory tract infection, peripheral edema, dyspnea, musculoskeletal pain, weight decreased, headache, hypertension, and dizziness/vertigo.",hot flush is an adverse reaction entity
"The most common adverse reactions (>= 10%) that occurred more commonly (>= 2% over placebo) in the XTANDI-treated patients from the two randomized clinical trials were asthenia/fatigue, back pain, decreased appetite, constipation, arthralgia, diarrhea, hot flush, upper respiratory tract infection, peripheral edema, dyspnea, musculoskeletal pain, weight decreased, headache, hypertension, and dizziness/vertigo.",dizziness is an adverse reaction entity
"The most common adverse reactions (>= 10%) that occurred more commonly (>= 2% over placebo) in the XTANDI-treated patients from the two randomized clinical trials were asthenia/fatigue, back pain, decreased appetite, constipation, arthralgia, diarrhea, hot flush, upper respiratory tract infection, peripheral edema, dyspnea, musculoskeletal pain, weight decreased, headache, hypertension, and dizziness/vertigo.","back pain , is not a named entity"
"The most common adverse reactions (>= 10%) that occurred more commonly (>= 2% over placebo) in the XTANDI-treated patients from the two randomized clinical trials were asthenia/fatigue, back pain, decreased appetite, constipation, arthralgia, diarrhea, hot flush, upper respiratory tract infection, peripheral edema, dyspnea, musculoskeletal pain, weight decreased, headache, hypertension, and dizziness/vertigo.",that is not a named entity
"The most common adverse reactions (>= 10%) that occurred more commonly (>= 2% over placebo) in the XTANDI-treated patients from the two randomized clinical trials were asthenia/fatigue, back pain, decreased appetite, constipation, arthralgia, diarrhea, hot flush, upper respiratory tract infection, peripheral edema, dyspnea, musculoskeletal pain, weight decreased, headache, hypertension, and dizziness/vertigo.",", constipation , is not a named entity"
"The most common adverse reactions (>= 10%) that occurred more commonly (>= 2% over placebo) in the XTANDI-treated patients from the two randomized clinical trials were asthenia/fatigue, back pain, decreased appetite, constipation, arthralgia, diarrhea, hot flush, upper respiratory tract infection, peripheral edema, dyspnea, musculoskeletal pain, weight decreased, headache, hypertension, and dizziness/vertigo.",back pain is an adverse reaction entity
"The most common adverse reactions (>= 10%) that occurred more commonly (>= 2% over placebo) in the XTANDI-treated patients from the two randomized clinical trials were asthenia/fatigue, back pain, decreased appetite, constipation, arthralgia, diarrhea, hot flush, upper respiratory tract infection, peripheral edema, dyspnea, musculoskeletal pain, weight decreased, headache, hypertension, and dizziness/vertigo.",upper respiratory tract infection is an adverse reaction entity
"The most common adverse reactions (>= 10%) that occurred more commonly (>= 2% over placebo) in the XTANDI-treated patients from the two randomized clinical trials were asthenia/fatigue, back pain, decreased appetite, constipation, arthralgia, diarrhea, hot flush, upper respiratory tract infection, peripheral edema, dyspnea, musculoskeletal pain, weight decreased, headache, hypertension, and dizziness/vertigo.",", diarrhea is not a named entity"
"The most common adverse reactions (>= 10%) that occurred more commonly (>= 2% over placebo) in the XTANDI-treated patients from the two randomized clinical trials were asthenia/fatigue, back pain, decreased appetite, constipation, arthralgia, diarrhea, hot flush, upper respiratory tract infection, peripheral edema, dyspnea, musculoskeletal pain, weight decreased, headache, hypertension, and dizziness/vertigo.",", is not a named entity"
"The most common adverse reactions (>= 10%) that occurred more commonly (>= 2% over placebo) in the XTANDI-treated patients from the two randomized clinical trials were asthenia/fatigue, back pain, decreased appetite, constipation, arthralgia, diarrhea, hot flush, upper respiratory tract infection, peripheral edema, dyspnea, musculoskeletal pain, weight decreased, headache, hypertension, and dizziness/vertigo.",XTANDI-treated is not a named entity
"The most common adverse reactions (>= 10%) that occurred more commonly (>= 2% over placebo) in the XTANDI-treated patients from the two randomized clinical trials were asthenia/fatigue, back pain, decreased appetite, constipation, arthralgia, diarrhea, hot flush, upper respiratory tract infection, peripheral edema, dyspnea, musculoskeletal pain, weight decreased, headache, hypertension, and dizziness/vertigo.",weight decreased is an adverse reaction entity
"The most common adverse reactions (>= 10%) that occurred more commonly (>= 2% over placebo) in the XTANDI-treated patients from the two randomized clinical trials were asthenia/fatigue, back pain, decreased appetite, constipation, arthralgia, diarrhea, hot flush, upper respiratory tract infection, peripheral edema, dyspnea, musculoskeletal pain, weight decreased, headache, hypertension, and dizziness/vertigo.",hypertension is an adverse reaction entity
